epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,9370.33,0.25461,0.17273,0.77645,0.13494,0.07728,0.05031,0.01943,2.81284,3.83401,2.46488,0.000615781,0.000615781,0.000615781
43,9590.56,0.24199,0.16717,0.7746,0.15059,0.0751,0.05264,0.02076,2.75672,3.79538,2.41244,0.000600313,0.000600313,0.000600313
44,9810.58,0.23721,0.16498,0.77378,0.13764,0.07725,0.05206,0.01989,2.81713,3.77466,2.41548,0.000584844,0.000584844,0.000584844
45,10030.3,0.23233,0.16163,0.77298,0.15098,0.0734,0.05113,0.01999,2.78561,3.85698,2.39982,0.000569375,0.000569375,0.000569375
46,10250.5,0.22709,0.15767,0.77237,0.15056,0.07872,0.05202,0.02011,2.76398,3.78402,2.38863,0.000553906,0.000553906,0.000553906
47,10470.6,0.21926,0.15312,0.77118,0.14424,0.07635,0.0524,0.02049,2.75816,3.77652,2.39591,0.000538438,0.000538438,0.000538438
48,10690.5,0.22037,0.15313,0.77141,0.16477,0.07635,0.05238,0.02058,2.74853,3.78873,2.42888,0.000522969,0.000522969,0.000522969
49,10910.2,0.21456,0.1491,0.77059,0.16055,0.07316,0.05121,0.02012,2.75604,3.87583,2.4146,0.0005075,0.0005075,0.0005075
50,11129.8,0.2116,0.14766,0.77039,0.15542,0.07226,0.04908,0.01961,2.77123,3.90972,2.4351,0.000492031,0.000492031,0.000492031
51,11349.5,0.20722,0.14484,0.76988,0.15109,0.07285,0.04998,0.01993,2.74744,3.78882,2.41548,0.000476562,0.000476562,0.000476562
52,11569.2,0.20219,0.14182,0.76918,0.16434,0.06845,0.04854,0.01915,2.75225,3.90334,2.46331,0.000461094,0.000461094,0.000461094
53,11788.8,0.19503,0.138,0.76832,0.17035,0.07177,0.05155,0.02075,2.72246,3.81617,2.40989,0.000445625,0.000445625,0.000445625
54,12008.4,0.18925,0.13477,0.76807,0.16687,0.0704,0.0478,0.01849,2.79598,3.91977,2.46808,0.000430156,0.000430156,0.000430156
55,12227.6,0.18359,0.13191,0.7676,0.16888,0.06979,0.04964,0.01973,2.76329,3.92394,2.44906,0.000414688,0.000414688,0.000414688
56,12447.3,0.18354,0.1309,0.76721,0.17002,0.07358,0.05326,0.02076,2.72885,3.74452,2.4311,0.000399219,0.000399219,0.000399219
57,12667.1,0.17847,0.12756,0.76674,0.17066,0.0716,0.05025,0.01962,2.75175,3.7996,2.46342,0.00038375,0.00038375,0.00038375
58,12886.9,0.17797,0.12635,0.76679,0.17687,0.0709,0.05032,0.01974,2.73865,3.84106,2.45608,0.000368281,0.000368281,0.000368281
59,13106.4,0.17442,0.12456,0.7663,0.1738,0.0726,0.05186,0.02077,2.70938,3.75806,2.4348,0.000352812,0.000352812,0.000352812
60,13326.1,0.1693,0.12202,0.76585,0.17064,0.07128,0.05077,0.02014,2.73678,3.80953,2.44827,0.000337344,0.000337344,0.000337344
61,13545.6,0.16484,0.1192,0.76531,0.17448,0.06958,0.05071,0.01984,2.72177,3.81515,2.43775,0.000321875,0.000321875,0.000321875
62,13765,0.16363,0.11787,0.76517,0.17491,0.07006,0.04985,0.01997,2.73539,3.83075,2.44844,0.000306406,0.000306406,0.000306406
63,13984.6,0.16177,0.11606,0.76503,0.1713,0.07023,0.04925,0.0198,2.73354,3.83305,2.4586,0.000290937,0.000290937,0.000290937
64,14204.1,0.1599,0.11498,0.76468,0.17355,0.06955,0.0493,0.01942,2.73275,3.8485,2.45267,0.000275469,0.000275469,0.000275469
65,14423.5,0.15609,0.11241,0.7643,0.17828,0.07086,0.05065,0.01989,2.72259,3.77811,2.45993,0.00026,0.00026,0.00026
66,14643,0.14961,0.10941,0.76414,0.17557,0.0699,0.04934,0.01964,2.7246,3.82514,2.46008,0.000244531,0.000244531,0.000244531
67,14862.4,0.14852,0.10831,0.76387,0.18628,0.06968,0.04996,0.02002,2.70758,3.77187,2.45882,0.000229063,0.000229063,0.000229063
68,15081.7,0.14694,0.10737,0.76372,0.17484,0.06881,0.04924,0.01955,2.71947,3.81792,2.46133,0.000213594,0.000213594,0.000213594
69,15301.1,0.1443,0.10556,0.76361,0.17857,0.06865,0.04887,0.01943,2.72431,3.83711,2.45848,0.000198125,0.000198125,0.000198125
70,15520.7,0.14091,0.10371,0.7636,0.18131,0.07098,0.05115,0.02019,2.71469,3.74975,2.46778,0.000182656,0.000182656,0.000182656
71,15740,0.13785,0.10204,0.76291,0.17952,0.06876,0.04926,0.01971,2.71615,3.80014,2.47512,0.000167188,0.000167188,0.000167188
72,15959.6,0.13619,0.10133,0.76313,0.18246,0.06928,0.04956,0.01981,2.71111,3.77919,2.46396,0.000151719,0.000151719,0.000151719
73,16179.1,0.13391,0.09981,0.76227,0.18021,0.06808,0.04949,0.01983,2.72278,3.82687,2.48215,0.00013625,0.00013625,0.00013625
74,16398.3,0.13339,0.09958,0.76245,0.18187,0.06853,0.04892,0.01947,2.72425,3.81967,2.48829,0.000120781,0.000120781,0.000120781
75,16617.9,0.13156,0.09859,0.76223,0.18306,0.06841,0.04984,0.01994,2.71254,3.80299,2.48766,0.000105312,0.000105312,0.000105312
76,16837.1,0.13007,0.09805,0.76203,0.18542,0.06785,0.04967,0.01992,2.71201,3.8121,2.48295,8.98437e-05,8.98437e-05,8.98437e-05
77,17056.4,0.12776,0.09697,0.76198,0.18595,0.06761,0.04953,0.01974,2.70957,3.81786,2.48243,7.4375e-05,7.4375e-05,7.4375e-05
78,17275.6,0.12684,0.0971,0.76212,0.18645,0.0672,0.05002,0.01989,2.70505,3.80583,2.48342,5.89062e-05,5.89062e-05,5.89062e-05
79,17494.9,0.12551,0.09674,0.7619,0.18539,0.06791,0.0498,0.01993,2.70638,3.80371,2.48393,4.34375e-05,4.34375e-05,4.34375e-05
80,17714.2,0.12433,0.09643,0.76179,0.18416,0.06804,0.04982,0.01994,2.70348,3.78945,2.4845,2.79687e-05,2.79687e-05,2.79687e-05
